;title;price;post link;image link;location
23;Peugeot 504 2.3 Sld Aa;2.800.000;https://auto.mercadolibre.com.ar/MLA-1386941325-peugeot-504-2000-23-sld-aa-_JM#position=24&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_873931-MLA54414655604_032023-W.jpg;Capital Federal - Capital Federal
24;Peugeot 504 2.0 Pick Up Gd;3.500.000;https://auto.mercadolibre.com.ar/MLA-1495361530-peugeot-504-1998-20-pick-up-gd-_JM#position=25&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_694612-MLA54984601503_052023-W.jpg;San Martin de los Andes - Neuquén
25;Peugeot 504 2.3 Xsd Tf;2.500.000;https://auto.mercadolibre.com.ar/MLA-1503748410-peugeot-504-1996-23-xsd-tf-_JM#position=26&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_878113-MLA71615300783_092023-W.jpg;San Fernando - Bs.As. G.B.A. Norte
26;Peugeot 504 2.3 Srd Ii;1.600.000;https://auto.mercadolibre.com.ar/MLA-1495855664-peugeot-504-1992-23-srd-ii-_JM#position=27&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_934722-MLA71461861112_092023-W.jpg;Pehuenches - Neuquén
27;Peugeot 504 2.0 Sr Ii;1.300.000;https://auto.mercadolibre.com.ar/MLA-1504432458-peugeot-504-1987-20-sr-ii-_JM#position=28&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_765353-MLA70840209876_082023-W.jpg;Capital Federal - Capital Federal
28;Peugeot 504 2.0 Xs Tc Aa Dh;10.500;https://auto.mercadolibre.com.ar/MLA-1503977752-peugeot-504-1995-20-xs-tc-aa-dh-_JM#position=29&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_983741-MLA71570566234_092023-W.jpg;Marcos Juárez - Córdoba
29;Peugeot 504 2.3 Pick Up Gr 5 Vel;5.100.000;https://auto.mercadolibre.com.ar/MLA-1489770626-peugeot-504-1996-23-pick-up-gr-5-vel-_JM#position=30&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_694337-MLA71417406249_082023-W.jpg;Berazategui - Bs.As. G.B.A. Sur
30;Peugeot 504 2.3 Xsd Tf;5.500;https://auto.mercadolibre.com.ar/MLA-1383921043-peugeot-504-xsd-tf-1996-_JM#position=31&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_615104-MLA71178138545_082023-W.jpg;Rosario - Santa Fe
31;Peugeot 504 2.3 Pick Up Grd;2.000.000;https://auto.mercadolibre.com.ar/MLA-1388231985-peugeot-504-1993-23-pick-up-grd-_JM#position=32&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_862178-MLA71654514918_092023-W.jpg;Mar del Plata - Bs.As. Costa Atlántica
32;Peugeot 504 2.3 Xsd Aa;4.100;https://auto.mercadolibre.com.ar/MLA-1491134824-peugeot-504-1994-23-xsd-aa-_JM#position=33&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_933418-MLA70769888355_072023-W.jpg;Gualeguay - Entre Ríos
